,model_name,fold,accuracy,vectorizer,method
0,SVC,0,0.8062556938961434,tfidf,lemma
1,SVC,1,0.8047373215912542,tfidf,lemma
2,SVC,2,0.7971454600668084,tfidf,lemma
3,SVC,3,0.7998785302156088,tfidf,lemma
4,SVC,4,0.7986638323716976,tfidf,lemma
5,SVC,5,0.7964763061968408,tfidf,lemma
6,SVC,6,0.8061968408262454,tfidf,lemma
7,SVC,7,0.8065006075334143,tfidf,lemma
8,SVC,8,0.8034629404617254,tfidf,lemma
9,SVC,9,0.8052855407047388,tfidf,lemma
10,Logisitc,0,0.7953234133009414,tfidf,lemma
11,Logisitc,1,0.7907682963862739,tfidf,lemma
12,Logisitc,2,0.7865168539325843,tfidf,lemma
13,Logisitc,3,0.7853021560886729,tfidf,lemma
14,Logisitc,4,0.7865168539325843,tfidf,lemma
15,Logisitc,5,0.7864520048602673,tfidf,lemma
16,Logisitc,6,0.7894896719319563,tfidf,lemma
17,Logisitc,7,0.7955650060753341,tfidf,lemma
18,Logisitc,8,0.7864520048602673,tfidf,lemma
19,Logisitc,9,0.7885783718104495,tfidf,lemma
20,NaiveBayes,0,0.6541147889462496,tfidf,lemma
21,NaiveBayes,1,0.6474339508047373,tfidf,lemma
22,NaiveBayes,2,0.6410567871242029,tfidf,lemma
23,NaiveBayes,3,0.6434861828120255,tfidf,lemma
24,NaiveBayes,4,0.6404494382022472,tfidf,lemma
25,NaiveBayes,5,0.6445929526123937,tfidf,lemma
26,NaiveBayes,6,0.6382138517618469,tfidf,lemma
27,NaiveBayes,7,0.6521871202916161,tfidf,lemma
28,NaiveBayes,8,0.6318347509113001,tfidf,lemma
29,NaiveBayes,9,0.6403402187120292,tfidf,lemma
30,RandomForest,0,0.7245672638931066,tfidf,lemma
31,RandomForest,1,0.7157607045247495,tfidf,lemma
32,RandomForest,2,0.7297297297297297,tfidf,lemma
33,RandomForest,3,0.7336774977224415,tfidf,lemma
34,RandomForest,4,0.7273003340419071,tfidf,lemma
